input,passive learning,active learning,constructive learning,interactive learning,other / not applicable (ICAP),ICAP validation,individual activity,individual product,collective activity,collective product,other / not applicable (social level),Social nature validation,orientation,conceptualisation,investigation,conclusion,discussion,other / not applicable (IBL),IBL validation,remember,understand,apply,analyze,evaluate,create,other / not applicable (Bloom),Bloom validation,retrieval,comprenhesion,analysis,knowledge utilization,other / not applicable (Marzano),Marzano validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>If you are satisfied with the notes, then start making a concept map. Remember that two tools are independent. Look at the tips below to create your concept map. You can adjust the concept map later on, so don't worry if you forget to add something.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,100%,100%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>A concept map is a visual representation of your thoughts, information and knowledge. A concept map contains concepts and relationships between these concepts that are visually represented by means of arrows and colours. This helps you organize information and provides a structure that makes you come up with new ideas more easily.</p><br>Tips to create a concept map:<br><ul><li>Avoid linking everything to everything and focus on the main relations between concepts.</li><li>Also think of concepts that are not related to each other.</li></ul>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>When you have finished the concept map you can go on to the Conceptualisation. To do this press the tab.<br></p>,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,75%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p><strong>The Physics of Color: How are we able to see things?</strong></p><p>""Color is the visual effect that is caused by the spectral composition of the light emitted, transmitted, or reflected by objects.""</p><p><br><strong>1. The Formation of Human Vision:</strong><br>Color originates in light. Sunlight, as we perceive it, is colorless. The rainbow is testimony to the fact that all the colors of the spectrum are present in white light. As illustrated in the picture below, light goes from the source (the sun) to the object (the orange), and finally to the detector: the eye and brain (See the figure ""How the eye sees"" below).</p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"----___---__--_--~ Downioad from f' E 3174ug45 Dreamstime.com ,..mm HE [3 Peter Hermes PM N Dreamsvme mm",0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>What is the mechanism that causes the light passing through the optic nerve is shown in our brain as sharp image? The human eye is an organ that reacts to light and has several purposes. As a conscious sense organ, the mammalian eye allows vision. The human eye can distinguish about 10 million colors. </p><p>The eyes and a camera share a lot in common. If you want to learn more you can view how the eye works in the following video: <a href=""http://www.healthline.com/vpvideo/vision"" target=""_blank"">http://www.healthline.com/vpvideo/vision</a><br><br></p><p><strong>2. The Physics of Color:</strong><br>How is it possible that people can see some colors and not others?<br>Electromagnetic radiation is characterized by its wavelength (or frequency) and its intensity. When the wavelength is within the visible spectrum (the range of wavelengths humans can perceive, approximately from 390 nm to 700 nm), it is known as ""visible light"".<br>Most light sources emit light at many different wavelengths; a source's spectrum is a distribution giving its intensity at each wavelength.<br>Why we can see a combination of colors?.<br>When the wavelength is within the visible spectrum (the range of wavelengths humans can perceive, approximately from 390 nm to 700 nm), it is known as ""visible light"". These combinations offer different colors.</p><p><br><strong>3. Primary colors:</strong><br>Here we will answer the previous questions. What are the primary colors and how their combination can generate other colors, are there different types of combinations?<br>Primary colors (or primary colours) are sets of colors that can be combined to make a useful range of colors. For human applications, three primary colors are usually used, since human color vision is trichromatic. For additive combination of colors, as in overlapping projected lights or in CRTdisplays, the primary colors normally used are red, green, and blue. For subtractive combination of colors, as in mixing of pigments or dyes, such as in printing, the primaries normally used are cyan, magenta, and yellow, though the set of red, yellow, blue is popular among artists (see RGB color model, CMYK color model, and RYB color model for more on these popular sets of primary colors).<br>Any particular choice for a given set of primary colors is derived from the spectral sensitivity of each of the human cone photoreceptors; three colors that fall within each of the sensitivity ranges of each of the human cone cells are red, green, and blue. Other sets of colors can be used, though not all will well approximate the full range of color perception. For example, an early color photographic process, autochrome, typically used orange, green, and violet primaries. However, unless negative amounts of a color are allowed the gamut will be restricted by the choice of primaries. The combination of any two primary colors creates a secondary color (See the primary colors figure below).</p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,50%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Look at your notes and your concept map from the orientation phase. Formulate a research question that includes red, green, blue or an interaction between these, and the term ""combine"". Use the questioning scratchpad to formulate your research question.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p><strong>Representation of Colors:</strong></p><p>How the colors are shown in the real world, in digital format, on a TV, on a canvas, on paper, etc.? A color model is an abstract mathematical model describing the way colors can be represented as tuples of numbers, typically as three or four values or color components. When this model is associated with a precise description of how the components are to be interpreted (viewing conditions, etc.), the resulting set of colors is called a color space. In this phase you are going to perform experiments with two different labs. In experiment 1 you use a virtual laboratoy and in experiment 2 (which is below) you use a real remote laboratory.<br><strong><br></strong></p><p><strong>Experiment 1:</strong><br>You want to answer your research question. For this, you will conduct an experiment. Have a look at the Mixing colors virtual laboratory below. You can move the sliders to combine primary colors and see the final color combination.</p><p>Record your observations in the tool below the lab. Press + to add an observation.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,100%,0%,100%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p><strong>Tips for Research</strong></p><ul><li>Research question: A research question is a question you find interesting to try to answer by conducting research.</li><li>Experiment: An experiment is a scientific test in which you perform a series of actions and carefully observe their effects in order to learn about something (http://www.merriam-webster.com/dictionary/experime...).</li><li>RGB LED laboratory ""The color of the light"": In this laboratory there is a lamp that you can turn on and off, and send three different colors mixed to observe the final result.</li></ul><br><strong>Tips to set up an experiment:</strong><br><ul><li>Design experiments to test given theories.</li><li>Keep experiments plain and simple.</li><li>Vary one thing at a time. Keep in mind that some concepts are made up of multiple concepts (e.g. speed = distance/time).</li><li>Keep general settings the same across experiments.</li><li>Make use of simple values</li><li>Make use of extreme values</li></ul>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p><strong>Experiment 2:</strong></p><p>In the RGB LED real laboratory ""The color of the light"" you can adjust three different values, send them to the physical and real (not virtual) device and see what happens. What can you find out if you move the sliders? In making the choices, does the order matter? If you change the three colors at the same time you cannot tell what caused the result.<br><br></p>",0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,25%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Once you have tried different combinations, open your notes and answer as detailed as possible the following questions:</p><ul><li>What is the result of mixing the three primary colors?</li><li>And blue with yellow?</li><li>Which one reflects more light?</li></ul>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,100%,0%,0%,TRUE,0%,0%,0%,100%,0%,0%,0%,TRUE,0%,0%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>You managed to complete the activity and you conducted experiments to answer ""Do I understand the way colors works?"". Can you answer your research question with the results you obtained? You can use the conclusion tool below to have a look at your research question and on the observations that you recorded during the experiments.</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,100%,0%,0%,TRUE,0%,0%,0%,0%,100%,0%,0%,TRUE,0%,0%,0%,25%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Tips for Writing a ConclusionExperiment: </p><ul><li>An experiment is a scientific test in which you perform a series of actions and carefully observe their effects in order to learn about something (<a href=""http://www.merriam-webster.com/dictionary/experime...).Research"" target=""_blank"">http://www.merriam-webster.com/dictionary/experime...</a> </li><li>A research question is a question you find interesting to try to answer by conducting research.</li><li>Conclusion tool: The conclusion tool is a tool to help you draw conclusions regarding your research question based on the results you obtained.</li><li>Conclusions: Your conclusions summarize how your results answer your original research question (http://www.sciencebuddies.org/science-fair-project...).</li></ul>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>If you cannot answer your research question, ask yourself the following questions:</p><ul><li>Did your research question contain one thing you observed/measured and one thing that influenced this?</li><li>Could you answer your research question within the LED RGB laboratory with the objects and equipment available?</li><li>Did you design your experiment in such a way that you could answer your research question?</li><li>Do you think it is possible to answer your research question if you checked other combinations?</li></ul>When this is not the case, ask your teacher for help.",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,0%,0%,100%,100%,0%,TRUE,0%,0%,0%,0%,100%,0%,0%,TRUE,0%,0%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,75%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Well done, you completed the activity and you learned about colors and human vision by conducting an experiment. Now it is time to compare the results of your experiment with what you learned in the orientation phase. </p>You watched the video('s) of the colors. What have you learned from this? Also look at your notes and concept map. Is this the same as what you found with your experiment?  If yes:<ul><li>What can you say about the topic of human vision?</li><li>What did you do to find those results?</li><li>Would you do something differently if you could do your experiment again?</li><li>If yes, what would you have done differently?</li><li>If no, why not?</li><li>Is there still something you need/want to find out about this topic that you did not investigate, and what?</li></ul>If no:<ul><li>How are your results different from what you learned in the orientation phase?</li><li>What do you think caused this?</li><li>Would you do something differently if you could do your experiment again?</li><li>If yes, what would you have done differently?</li><li>If no, why not?</li></ul>Write down your answers in the Input Box below.",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,100%,0%,TRUE,0%,0%,0%,0%,100%,0%,0%,TRUE,0%,0%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Well done! You conducted a real science experiment and learned about the science behind colors. You have followed all the steps a scientist would take. Save your work, including all the steps you took in the report, and celebrate your success.</p>",0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,25%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Sometimes you can see a rainbow in the sky. When does this happen?</p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>What could cause that you can see a rainbow?</p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>In this lesson you will discover more about this. You will find out whether your thoughts are correct. Press  ""The colour of light"" to go on.<br></p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Do you still know that in the lesson about ""<a href=""http://graasp.eu/ils/5ad5e389bbb2a7100dfbb901/?lang=en"" target=""_blank"">The colour of light</a>"" you discovered that white light actually is a mixture of colours? And do you still know that light consists of waves and that every colour has a different wavelength? </p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n another lesson you learned something about light that shines through transparent materials? Do you remember? What will happen with the light ray if you turn on the light? Type your answer below the pictures,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>You will soon find out whether your answer to the question is correct. Click in the program below two times on ""Prisms"". Drag the triangle from the lower area to the area above and place it in front of the light. Then switch the light on. Look what happens. <strong>The next assignment is below the program. You need to scroll down. </strong></p>",0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Now change the colour of the light by moving the red box below the multi-coloured bar. What strikes you? Write your answer below and after that click on ""<strong>Doing research - step 2</strong>"".</p>",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Below you see the same program again' Press twice on ""Prisms"". Now change the colour of the light to white by pressing on the box on the right, l— lEl lEl Drag a triangle in front of the light and switch the light on, Describe below what you observe,",0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,25%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Make further explorations by changing things in the program above. If you're done press ""<strong>What did you discover?</strong>""<br></p>",0%,100%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>White light is a mixture of colours and each colour has it's own wavelength. See the picture below. When the light waves are refracted every wavelength is refracted differently. Therefore all the colours in the white light are refracted in a different angle. This makes that you can see the colours after the white light is refracted.  </p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The properties and behaviour of light, and how it interacts with droplets of water, give rise to one of nature's most colourful meteorological events - the rainbow.",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,25%,0%,0%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>This is a description for the orientation.</p>,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a doc test for the ils !,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
